address,reg_name,bits,field,type,default_value,modify,analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x001D,MIPI_PKT_PLNUM_L,[7:0],MIPI_PKT_PL_NUM[7:0],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x001E,MIPI_PKT_PLNUM_H,[7:0],MIPI_PKT_PL_NUM[15:8],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0020,HIST_MINBIN_THRS,[7:0],HIST_MINBIN_THRS,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0021,HIST_MAXBIN_THRS,[7:0],HIST_MAXBIN_THRS,R/W,8'd255,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0022,HIST_BINFULL_THRS_L,[7:0],HIST_BINFULL_THRS[7:0],R/W,8'hF0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0023,HIST_BINFULL_THRS_H,[7:2],Rev,R/W,6'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1:0],HIST_BINFULL_THRS[9:8],R/W,2'd3,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0024,HIST_NS_MINBIN_THRS,[7:0],NS_MINBIN_THRS,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0025,HIST_NS_MAXBIN_THRS,[7:0],NS_MAXBIN_THRS,R/W,8'd255,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0026,HIST_MISC_CFG,[7:6],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5],INTF_HIST_MODE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4],INTF_DET_EN,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3],FLEX_SHOT_EN,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[2],Rev,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1],BIN_WIDTH_MODE,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],BIN_WIDTH_SEL,R/W,1'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x002B,ZDDACCNUM_THRS,[7],ZDD_TRIG_POL_SEL,R/W,1'd1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6:1],Rev,R/W,6'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],ZDD_ACCNUM_THRS,R/W,1'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0036,FRM_SLOT_NUM_L,[7:0],FRM_SLOT_NUM[7:0],R/W,8'hAF,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0037,FRM_SLOT_NUM_H,[7:0],FRM_SLOT_NUM[15:8],R/W,8'd4,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0038,ANGLE_GRP_CFG,[7:3],Rev,R/W,5'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[2:0],ANGLE_GRP_SW_NUM,R/W,3'd5,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0039,ANGLE_GRP0_SLOT_NUM,[7:0],ANGLE_GRP0_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x003A,ANGLE_GRP1_SLOT_NUM,[7:0],ANGLE_GRP1_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x003B,ANGLE_GRP2_SLOT_NUM,[7:0],ANGLE_GRP2_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x003C,ANGLE_GRP3_SLOT_NUM,[7:0],ANGLE_GRP3_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x003D,ANGLE_GRP4_SLOT_NUM,[7:0],ANGLE_GRP4_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x003E,ANGLE_GRP5_SLOT_NUM,[7:0],ANGLE_GRP5_SLOT_NUM,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
